title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
VNT vs. VLTO: Which Stock Should Value Investors Buy Now?,https://www.zacks.com/stock/news/2217312/vnt-vs-vlto-which-stock-should-value-investors-buy-now,2024-01-29 16:40:12,VNT vs. VLTO: Which Stock Is the Better Value Option?,VLTO,0.543004,0.491006,Bullish
Check Out What Whales Are Doing With DHR - Danaher  ( NYSE:DHR ) ,https://www.benzinga.com/insights/options/24/01/36787076/check-out-what-whales-are-doing-with-dhr,2024-01-25 18:30:43,"Whales with a lot of money to spend have taken a noticeably bullish stance on Danaher. Looking at options history for Danaher DHR we detected 16 trades. If we consider the specifics of each trade, it is accurate to state that 50% of the investors opened trades with bullish expectations and 50% ...",VLTO,0.108958,0.036952,Neutral
Is Invesco Global Water ETF  ( PIO )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2214735/is-invesco-global-water-etf-pio-a-strong-etf-right-now,2024-01-24 11:20:06,Smart Beta ETF report for PIO ...,VLTO,0.121037,0.068013,Neutral
VNT or VLTO: Which Is the Better Value Stock Right Now?,https://www.zacks.com/stock/news/2209630/vnt-or-vlto-which-is-the-better-value-stock-right-now,2024-01-12 16:40:11,VNT vs. VLTO: Which Stock Is the Better Value Option?,VLTO,0.69701,0.638888,Bullish
Trojan Technologies vend l'entreprise Salsnes Filter,https://www.prnewswire.com/news-releases/trojan-technologies-vend-lentreprise-salsnes-filter-302031328.html,2024-01-10 13:16:00,"LONDON, ON, 10 janvier 2024 /PRNewswire/ -- Trojan Technologies a annoncé aujourd'hui son intention de vendre l'entreprise Salsnes Filter à des membres actuels et anciens de l'équipe de direction de Salsnes, avec une clôture de la transaction prévue à la mi-janvier 2024.",VLTO,0.111747,-0.015327,Neutral
What the Options Market Tells Us About Danaher - Danaher  ( NYSE:DHR ) ,https://www.benzinga.com/markets/options/24/01/36564753/what-the-options-market-tells-us-about-danaher,2024-01-09 20:15:39,"Financial giants have made a conspicuous bullish move on Danaher. Our analysis of options history for Danaher DHR revealed 10 unusual trades. Delving into the details, we found 70% of traders were bullish, while 30% showed bearish tendencies.",VLTO,0.124164,0.038895,Neutral
Trojan Technologies to sell Salsnes Filter business,https://www.prnewswire.com/news-releases/trojan-technologies-to-sell-salsnes-filter-business-302030237.html,2024-01-09 17:13:00,"LONDON, ON, Jan. 9, 2024 /PRNewswire/ -- Trojan Technologies today announced their plan to sell the Salsnes Filter business to current and former members of the Salsnes management team, with an anticipated closing of the transaction in mid-January 2024.",VLTO,0.131284,0.191716,Somewhat-Bullish
Trojan Technologies to sell Salsnes Filter business,https://www.prnewswire.com/news-releases/trojan-technologies-to-sell-salsnes-filter-business-302030001.html,2024-01-09 15:00:00,"LONDON, ON, Jan. 9, 2024 /PRNewswire/ -- Trojan Technologies today announced their plan to sell the Salsnes Filter business to current and former members of the Salsnes management team, with an anticipated closing of the transaction in mid-January 2024.",VLTO,0.131284,0.191716,Somewhat-Bullish
Trojan Technologies Awarded EcoVadis Gold Medal,https://www.prnewswire.com/news-releases/trojan-technologies-awarded-ecovadis-gold-medal-302021497.html,2024-01-02 13:00:00,"Trojan Technologies wins gold medal for sustainability, ranking in the 95th percentile LONDON, ON, Jan. 2, 2024 /PRNewswire/ -- Trojan Technologies announced they have been awarded an EcoVadis gold medal for 2023 and were ranked in the 95th percentile, placing them in the top 5% of companies ...",VLTO,0.103331,0.249877,Somewhat-Bullish
Spotlight on Danaher: Analyzing the Surge in Options Activity - Danaher  ( NYSE:DHR ) ,https://www.benzinga.com/markets/options/23/12/36351752/spotlight-on-danaher-analyzing-the-surge-in-options-activity,2023-12-21 20:31:02,"Financial giants have made a conspicuous bearish move on Danaher. Our analysis of options history for Danaher DHR revealed 9 unusual trades. Delving into the details, we found 22% of traders were bullish, while 77% showed bearish tendencies.",VLTO,0.121037,0.038465,Neutral
2 Buys and 1 Sell From Al Gore's Investment Company,https://www.fool.com/investing/2023/12/14/2-buys-and-1-sell-from-al-gores-investment-company/,2023-12-14 10:40:00,"An industrial software company, a positioning and workflow company, and a leading life science, bioprocessing, and diagnostics company make up a list of stocks traded by Generation Investment Management.",VLTO,0.135347,-0.006395,Neutral
"Senator Whitehouse's $3.3M Stock Sale In Pollution Treatment Firm Sparks Insider Trading Suspicions: What Happened? - Veralto  ( NYSE:VLTO ) , Danaher  ( NYSE:DHR ) ",https://www.benzinga.com/markets/equities/23/12/36172357/senator-whitehouses-3-3m-stock-sale-in-pollution-treatment-firm-sparks-insider-trading-suspicion,2023-12-11 10:30:27,"Sen. Sheldon Whitehouse ( D-R.I. ) disclosed a series of stock trading transactions Thursday, and at least one of them has raised eyebrows on potential insider trading.",VLTO,0.622414,0.01802,Neutral
Veralto Recommends Shareholders Reject Mini-Tender Offer by TRC Capital Investment Corporation - Veralto  ( NYSE:VLTO ) ,https://www.benzinga.com/pressreleases/23/11/n36014141/veralto-recommends-shareholders-reject-mini-tender-offer-by-trc-capital-investment-corporation,2023-11-29 23:15:00,"WALTHAM, Mass., Nov. 29, 2023 /PRNewswire/ -- Veralto VLTO, a global leader in essential water and product quality solutions dedicated to Safeguarding the World's Most Vital Resources™, has become aware of an unsolicited ""mini-tender offer"" made by TRC Capital Investment Corporation ( TRC ) to ...",VLTO,0.724687,0.56443,Bullish
Danaher's Spun-Off Company Veralto Can Grow Via M&A: Analyst - Veralto  ( NYSE:VLTO ) ,https://www.benzinga.com/analyst-ratings/analyst-color/23/11/35596796/danahers-spun-off-company-veralto-can-grow-via-m-a-analyst,2023-11-03 19:29:56,"RBC Capital Markets analyst Deane Dray initiated coverage on Veralto Corp VLTO with a Sector Perform rating and a price target of $78.00. Veralto separated from its former parent, Danaher Corp DHR, and began trading on the New York Stock Exchange in October.",VLTO,0.951254,0.295804,Somewhat-Bullish
We're exiting our smallest position and will use the cash to buy more of another stock,https://www.cnbc.com/2023/11/02/were-exiting-our-smallest-position-and-will-use-the-cash-to-buy-more-of-another-stock.html,2023-11-02 16:15:04,"When we scrutinized the portfolio up and down on what to sell, we decided to move on from a stock received in a spinoff.",VLTO,0.413425,0.185495,Somewhat-Bullish
