title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
WEC Energy Group  ( WEC )  Earnings Expected to Grow: What to Know Ahead of Next Week's Release,https://www.zacks.com/stock/news/2215854/wec-energy-group-wec-earnings-expected-to-grow-what-to-know-ahead-of-next-weeks-release,2024-01-25 15:00:55,WEC Energy (WEC) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,WEC,0.295273,0.071448,Neutral
"ONE Gas  ( OGS )  Raises Quarterly Dividend, Lowers '23 EPS View",https://www.zacks.com/stock/news/2214916/one-gas-ogs-raises-quarterly-dividend-lowers-23-eps-view,2024-01-24 14:27:00,ONE Gas (OGS) continues to increase shareholders' value as its board of directors approved a 1.5% quarterly dividend hike. The company also lowers its 2023 earnings guidance.,WEC,0.224903,0.014297,Neutral
NRG Energy  ( NRG )  Rewards Shareholders With 8% Dividend Hike,https://www.zacks.com/stock/news/2213312/nrg-energy-nrg-rewards-shareholders-with-8-dividend-hike,2024-01-22 13:06:00,NRG Energy (NRG) continues to increase shareholders' value as its board of directors approves an 8% quarterly dividend hike.,WEC,0.220809,0.180081,Somewhat-Bullish
"Stock market today: US futures slide on rate doubts, China growth fears",https://markets.businessinsider.com/news/stocks/stock-market-today-futures-slide-rate-doubts-china-growth-fears-2024-1,2024-01-16 10:09:00,"• US stock futures slump in Tuesday's early trades, tracking declines in Asian and European markets. • Market sentiment weakens amid China growth concerns, and as central bankers push back against rate-cut speculation. • Lennar Corporation, CoStar, and Tesla are among S&P 500 stocks leading ...",WEC,0.095138,0.052378,Neutral
Alliant Energy  ( LNT )  Rewards Shareholders With 6.1% Dividend Hike,https://www.zacks.com/stock/news/2210394/alliant-energy-lnt-rewards-shareholders-with-61-dividend-hike,2024-01-15 18:05:00,"Alliant Energy (LNT) continues to increase shareholders' value, as its board of directors approves a 6.1% quarterly dividend hike.",WEC,0.228431,0.174722,Somewhat-Bullish
StockNews.com Lowers WEC Energy Group  ( NYSE:WEC )  to Sell,https://www.defenseworld.net/2024/01/13/stocknews-com-lowers-wec-energy-group-nysewec-to-sell.html,2024-01-13 06:22:45,"WEC Energy Group ( NYSE:WEC - Get Free Report ) was downgraded by StockNews.com from a ""hold"" rating to a ""sell"" rating in a report released on Saturday. WEC has been the topic of a number of other research reports.",WEC,0.815635,0.465061,Bullish
"If You Invested $1000 In This Stock 20 Years Ago, You Would Have $5,200 Today - WEC Energy Group  ( NYSE:WEC ) ",https://www.benzinga.com/news/24/01/36509532/if-you-invested-1000-in-this-stock-20-years-ago-you-would-have-5-200-today,2024-01-05 14:00:22,"WEC Energy Group WEC has outperformed the market over the past 20 years by 1.2% on an annualized basis producing an average annual return of 8.56%. Currently, WEC Energy Group has a market capitalization of $27.10 billion.",WEC,0.977302,0.386606,Bullish
Here's How Much $100 Invested In WEC Energy Group 20 Years Ago Would Be Worth Today - WEC Energy Group  ( NYSE:WEC ) ,https://www.benzinga.com/news/24/01/36451102/heres-how-much-100-invested-in-wec-energy-group-20-years-ago-would-be-worth-today,2024-01-02 14:01:04,"WEC Energy Group WEC has outperformed the market over the past 20 years by 1.01% on an annualized basis producing an average annual return of 8.45%. Currently, WEC Energy Group has a market capitalization of $26.55 billion.",WEC,0.977302,0.386606,Bullish
How Is The Market Feeling About WEC Energy Group? - WEC Energy Group  ( NYSE:WEC ) ,https://www.benzinga.com/short-sellers/23/12/36433706/how-is-the-market-feeling-about-wec-energy-group,2023-12-29 20:45:13,"WEC Energy Group's WEC short percent of float has risen 3.85% since its last report. The company recently reported that it has 5.26 million shares sold short, which is 2.16% of all regular shares that are available for trading.",WEC,0.421485,0.327895,Somewhat-Bullish
"WEC Energy Group  ( NYSE:WEC )  Downgraded to ""Sell"" at StockNews.com",https://www.defenseworld.net/2023/12/29/wec-energy-group-nysewec-downgraded-to-sell-at-stocknews-com.html,2023-12-29 07:48:41,StockNews.com downgraded shares of WEC Energy Group ( NYSE:WEC - Free Report ) from a hold rating to a sell rating in a research note issued to investors on Thursday.,WEC,0.778784,0.505943,Bullish
WEC Energy  ( WEC )  Rewards Shareholders With 7% Dividend Hike,https://www.zacks.com/stock/news/2200916/wec-energy-wec-rewards-shareholders-with-7-dividend-hike,2023-12-21 12:29:00,"WEC Energy (WEC) continues to increase shareholders' value, as its board of directors approves a 7% quarterly dividend hike.",WEC,0.434763,0.381933,Bullish
How Is The Market Feeling About WEC Energy Group? - WEC Energy Group  ( NYSE:WEC ) ,https://www.benzinga.com/short-sellers/23/12/36217566/how-is-the-market-feeling-about-wec-energy-group,2023-12-13 15:15:24,"WEC Energy Group's WEC short percent of float has fallen 13.69% since its last report. The company recently reported that it has 5.06 million shares sold short, which is 2.08% of all regular shares that are available for trading.",WEC,0.421485,0.24509,Somewhat-Bullish
ETR or WEC: Which Is the Better Value Stock Right Now?,https://www.zacks.com/stock/news/2196286/etr-or-wec-which-is-the-better-value-stock-right-now,2023-12-11 16:40:13,ETR vs. WEC: Which Stock Is the Better Value Option?,WEC,0.676678,0.552142,Bullish
StockNews.com Upgrades WEC Energy Group  ( NYSE:WEC )  to Hold,https://www.defenseworld.net/2023/12/06/stocknews-com-upgrades-wec-energy-group-nysewec-to-hold.html,2023-12-06 06:39:27,"WEC Energy Group ( NYSE:WEC - Get Free Report ) was upgraded by analysts at StockNews.com from a ""sell"" rating to a ""hold"" rating in a research report issued on Monday.",WEC,0.842425,0.431144,Bullish
"If You Invested $1000 In This Stock 20 Years Ago, You Would Have $5,200 Today - WEC Energy Group  ( NYSE:WEC ) ",https://www.benzinga.com/news/23/12/36096225/if-you-invested-1000-in-this-stock-20-years-ago-you-would-have-5-200-today,2023-12-05 16:30:16,"WEC Energy Group WEC has outperformed the market over the past 20 years by 1.17% on an annualized basis producing an average annual return of 8.64%. Currently, WEC Energy Group has a market capitalization of $26.81 billion.",WEC,0.977302,0.386606,Bullish
Insider Selling: ULICE PAYNE JR Unloads $50K Of WEC Energy Group Stock - WEC Energy Group  ( NYSE:WEC ) ,https://www.benzinga.com/news/23/12/36044740/insider-selling-ulice-payne-jr-unloads-50k-of-wec-energy-group-stock,2023-12-01 15:02:49,"On November 30, a recent SEC filing unveiled that ULICE PAYNE JR, Director at WEC Energy Group WEC made an insider sell. What Happened: JR's recent Form 4 filing with the U.S. Securities and Exchange Commission on Thursday unveiled the sale of 600 shares of WEC Energy Group.",WEC,0.521465,0.081603,Neutral
Why Is WEC Energy  ( WEC )  Up 0.5% Since Last Earnings Report?,https://www.zacks.com/stock/news/2191666/why-is-wec-energy-wec-up-05-since-last-earnings-report,2023-11-30 16:31:00,WEC Energy (WEC) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,WEC,0.513494,0.259317,Somewhat-Bullish
Here's How Much You Would Have Made Owning WEC Energy Group Stock In The Last 20 Years - WEC Energy Group  ( NYSE:WEC ) ,https://www.benzinga.com/news/23/11/35981699/heres-how-much-you-would-have-made-owning-wec-energy-group-stock-in-the-last-20-years,2023-11-28 15:30:57,"WEC Energy Group WEC has outperformed the market over the past 20 years by 1.04% on an annualized basis producing an average annual return of 8.55%. Currently, WEC Energy Group has a market capitalization of $25.94 billion.",WEC,0.977302,0.386606,Bullish
StockNews.com Downgrades WEC Energy Group  ( NYSE:WEC )  to Sell,https://www.defenseworld.net/2023/11/25/stocknews-com-downgrades-wec-energy-group-nysewec-to-sell.html,2023-11-25 07:26:48,"WEC Energy Group ( NYSE:WEC - Get Free Report ) was downgraded by stock analysts at StockNews.com from a ""hold"" rating to a ""sell"" rating in a report issued on Thursday.",WEC,0.806919,0.515007,Bullish
"ICC RULINGS REDUCE RECORD RATE-HIKE PROPOSALS; HALT CONTROVERSIAL PIPE-REPLACEMENT PROGRAM, AS REGULATORS DRAW LINE ON UTILITY EXCESS",https://www.prnewswire.com/news-releases/icc-rulings-reduce-record-rate-hike-proposals-halt-controversial-pipe-replacement-program-as-regulators-draw-line-on-utility-excess-301992272.html,2023-11-17 15:29:00,ICC RULINGS REDUCE RECORD RATE-HIKE PROPOSALS. HALT CONTROVERSIAL PIPE-REPLACEMENT ... PR ...,WEC,0.055364,0.053048,Neutral
EXC or WEC: Which Is the Better Value Stock Right Now?,https://www.zacks.com/stock/news/2184145/exc-or-wec-which-is-the-better-value-stock-right-now,2023-11-14 16:40:06,EXC vs. WEC: Which Stock Is the Better Value Option?,WEC,0.751437,0.575031,Bullish
How Is The Market Feeling About WEC Energy Group? - WEC Energy Group  ( NYSE:WEC ) ,https://www.benzinga.com/short-sellers/23/11/35595786/how-is-the-market-feeling-about-wec-energy-group,2023-11-03 16:15:21,"WEC Energy Group's WEC short percent of float has risen 22.84% since its last report. The company recently reported that it has 4.83 million shares sold short, which is 1.99% of all regular shares that are available for trading.",WEC,0.421485,0.327895,Somewhat-Bullish
WEC Energy Group  ( NYSE:WEC )  Upgraded by StockNews.com to Hold,https://www.defenseworld.net/2023/11/03/wec-energy-group-nysewec-upgraded-by-stocknews-com-to-hold.html,2023-11-03 05:30:43,WEC Energy Group ( NYSE:WEC ) Upgraded by StockNews.com to ... Defense World ...,WEC,0.840024,0.494832,Bullish
