title,url,time_published,summary,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
Zaxby's welcomes Carl Mount as new chief supply chain officer,https://www.prnewswire.com/news-releases/zaxbys-welcomes-carl-mount-as-new-chief-supply-chain-officer-301718169.html,2023-01-10 18:25:00,"KFC veteran to optimize Zaxby's partnerships between suppliers and franchisees ATHENS, Ga., Jan. 10, 2023 /PRNewswire/ -- Saucy chicken chain welcomes Carl Mount as chief supply chain officer effective January 17.",YUM,0.153961,0.151339,Somewhat-Bullish
Pizza Hut is bringing back a fan favorite from the '90s | Business,https://www.cnn.com/2023/01/10/business/pizza-hut-big-new-yorker/index.html,2023-01-10 11:32:00,Pizza Hut is bringing back a fan favorite from the ...,YUM,0.118647,0.002285,Neutral
Here's Why Investors Should Retain Yum China  ( YUMC )  Stock,https://www.zacks.com/stock/news/2036949/heres-why-investors-should-retain-yum-china-yumc-stock,2023-01-09 18:20:00,"Yum China (YUMC) focuses on its membership program and digital fundamentals to boost customer experience and attract online traffic. However, inflationary pressures are a concern.",YUM,0.049835,0.165346,Somewhat-Bullish
"CANADIANS TO LIVE MÁS! REDBERRY RESTAURANTS ANNOUNCES AGREEMENT TO BUILD 200 TACO BELL RESTAURANTS IN CANADA, KICKING OFF RAPID EXPANSION WITH THEIR FIRST NEW BUILD IN LONDON, ONTARIO IN 2023",https://www.newswire.ca/news-releases/canadians-to-live-mas-redberry-restaurants-announces-agreement-to-build-200-taco-bell-restaurants-in-canada-kicking-off-rapid-expansion-with-their-first-new-build-in-london-ontario-in-2023-877657826.html,2023-01-09 14:00:00,CANADIANS TO LIVE MÁS! REDBERRY RESTAURANTS ... Canada ...,YUM,0.053035,0.061714,Neutral
"2 Stocks to Buy For ""Safer"" Exposure to China",https://www.zacks.com/commentary/2035421/2-stocks-to-buy-for-safer-exposure-to-china,2023-01-05 01:13:00,Starbucks and Yum China looked poised to benefit from the reopening of the Chinese economy and should be safer investments in terms of volatility and SEC regulations.,YUM,0.077593,0.084049,Neutral
Beyond Stock Rises as Costco Adds Plant-Free Steak to its Shelves,https://www.thestreet.com/retailers/costco-selling-beyond-meat-steak,2023-01-04 18:23:00,"Costco shoppers in Arizona, Nevada, New Mexico, Colorado and Southern California are finding new plant-based options.",YUM,0.128478,0.32363,Somewhat-Bullish
Chipotle Sets its Sights on Healthier Options,https://www.thestreet.com/restaurants/chipotle-sets-its-sights-on-healthier-options,2023-01-03 22:22:00,The company is also using a surprising kind of tech to promote new menu items ...,YUM,0.1331,0.145127,Neutral
Sore Thumb Indicator: 3 Chinese ADRs Pass the Test,https://www.zacks.com/commentary/2034798/sore-thumb-indicator-3-chinese-adrs-pass-the-test,2023-01-03 22:15:00,Red market days are cherished by savvy investors. Why? The strongest stocks tend to buck the overall market trend and stick out like a sore thumb.,YUM,0.124164,0.212595,Somewhat-Bullish
Papa John's Finds an Answer to Domino's Dominance,https://www.thestreet.com/restaurants/pizza-papa-john-dominos-restaurant-menu-changes-yum,2023-01-03 19:00:00,Papa John's thinks it found a way to compete with Domino's.,YUM,0.107495,0.197499,Somewhat-Bullish
An Extremely Spicy Popeyes Item to Make a Brief Reappearance,https://www.thestreet.com/restaurants/popeyes-ghost-pepper-wings-return,2023-01-03 18:05:00,Popeyes is bringing back a heat-heavy item from its past.,YUM,0.138863,0.144535,Neutral
